Fiber Optics,الألياف البصرية,Al-Alyaf Al-Basariyah, 
Patch panel area,منطقة لوحة التوصيل,Mintaqat lawhat al-tawseel, 
Ladder rack,سلم كابلات,Sullam kabilat, 
Conduit,ماصورة,Masoora, 
Junction box,قسام,Gassam, 
Floor tile,بلاطة أرضية,Balatat ardhiya, 
Perforated tile,بلاطة مخرمة,Balatat mukharama, 
Airflow path,مسار هواء,Masar hawa, 
Pressure zone,منطقة ضغط,Mintaqat dhaght, 
Partition,قاطع,Qati', 
Security cage,قفص حماية,Qafas himaya, 
Biometric entry,دخول بصمة,Dukhool basma, 
Server room,غرفة سيرفرات,Ghurfat serverat, 
Telecommunications room,غرفة اتصالات,Ghurfat ittisalat, 
Loading bay,منطقة تحميل,Mintaqat tahmeel, 
Staging area,منطقة تجهيز,Mintaqat tajheez, 
Service corridor,ممر خدمة,Mammar khidma, 
Emergency exit,مخرج طوارئ,Makhraj tawari', 
Fire suppression zone,منطقة إطفاء حريق,Mintaqat itfa' hareeq, 
Smoke detector spot,موقع كاشف دخان,Mawqi' kashif dukhan, 
CCTV angle,زاوية كاميرا,Zawiyat camera, 
Sensor location,موقع حساس,Mawqi' hassas, 
Grounding point,نقطة تأريض,Nuqtat ta'reedh, 
Main distribution frame,إطار التوزيع الرئيسي,Itar al-tawzee' al-ra'isi, 
Intermediate frame,إطار وسيط,Itar waseet, 
Cross connect,توصيل تبادلي,Tawseel tabaduli, 
Fiber backbone,العمود الفقري للألياف,Al-amood al-faqari lil-alyaf, 
Riser,رايزر,Riser, 
Underground duct,مجرى تحت الأرض,Majra taht al-ardh, 
Trench,خندق,Khandaq, 
Manhole,غرفة تفتيش,Ghurfat tafteesh, 
Handhole,هاندهول,Handhole, 
Wall mount,تثبيت جداري,Tathbeet jidari, 
Floor mount,تثبيت أرضي,Tathbeet ardhi, 
Distance,مسافة,Masafa, 
Depth,عمق,Omuq, 
Height,ارتفاع,Irtifa', 
Width,عرض,Ardh, 
Level,ميزان,Meezan, 
Slope,ميول,Mayool, 
Radius,نصف قطر,Nisf qutur, 
Perimeter,محيط,Muheet, 
English,Arabic,Phonetic, 
Scissor lift,سيزر لفت,Sizer lift, 
Forklift,فوركلفت,Forklift, 
Torque wrench,مفتاح عزم,Muftah azm, 
Fiber cleaver,كسارة فايبر,Kasarat fiber, 
Thermal camera,كاميرا حرارية,Camera harariya, 
Pallet,طبلية,Tabliya, 
Shipping container,كونتينر,Container, 
Inventory,جرد,Jard, 
Fusion splicer,ماكينة تلحيم ألياف,Makinat talheem alyaf, 
OTDR,جهاز فحص فايبر,Jihaaz fahs fiber, 
Rack lifter,رافعة كبائن,Raf'at kaba'in, 
Floor tile puller,شفاط بلاط,Shaffat balat, 
Fiber stripper,قشارة ألياف,Gasharat alyaf, 
Visual fault locator,قلم ليزر فايber,Qalam laser fiber, 
Power meter,مقياس قدرة,Miqyas qudra, 
Label maker,طابعة استيكرات,Tabi'at stickers, 
Screwdriver,مفك,Mifak, 
Pliers,زرادية,Zaradiya, 
Tape measure,متر,Meter, 
Level,ميزان موية,Meezan moya, 
Ladder,سلم,Sullam, 
Tool box,شنطة عدة,Shintat 'idda, 
Safety vest,فيست سلامة,Vest salama, 
Hard hat,خوذة,Khotha, 
Safety shoes,سيفتي,Safety, 
Multimeter,ملتيميتر,Multimeter, 
Crimping tool,كباس,Kabbas, 
Cable puller,سحاب كابلات,Sahhab kabilat, 
Velcro roll,رول فلكرو,Roll velcro, 
Cable ties,ربطات كابلات,Rabtat kabilat, 
Heat gun,فرد حراري,Fard harari, 
Air compressor,كمبروسر هواء,Kompressor hawa, 
Industrial vacuum,مكنسة صناعية,Maknasa sina'iya, 
Trolley,عربية,Arabiya, 
Pallet jack,جاك طبلية,Jack tabliya, 
Crane,ونش,Wunsh, 
Small truck,دينة,Dyna, 
Warehouse,مستودع,Mustawda', 
Manifest,بيان حمولة,Bayan hamoola, 
Bill of lading,بوليصة شحن,Bolisa shahn, 
Customs,جمارك,Jumarik, 
Delivery note,سند استلام,Sanad istilam, 
Serial number,رقم تسلسلي,Raqam tasalsuli, 
Part number,رقم القطعة,Raqam al-gat'a, 
Spare parts,قطع غيار,Gata' ghiyar, 
Procurement,مشتريات,Mushtarayat, 
Supplier,مورد,Muwarrid, 
Vendor,مقاول توريد,Moqawil tawreed, 
PPE,معدات وقاية,Ma'idat wiqaya, 
First aid kit,شنطة إسعافات,Shintat is'afat, 
Fire extinguisher,طفاية حريق,Taffayat hareeq, 
Barcode scanner,قارئ باركود,Gari' barcode, 
RFID tag,تاق تتبع,Tag tatabbu', 
Packing slip,ورقة تغليف,Waragat taghleef, 
Bubble wrap,نايلون فقاقيع,Nylon faqaqi', 
Shrink wrap,تغليف شرنك,Taghleef shrink, 
Duct tape,شطرطون قوي,Shatartoon gawi, 
Warning tape,شريط تحذيري,Shirit tahtheeri, 
Cones,أقماع,Agma', 
Barrier,حاجز,Hajiz, 
Generator,ماطور كهرباء,Mator kahraba, 
Extension cord,توصيلة,Tawseela, 
Impact driver,دريل إمباكت,Drill impact, 
Allen key,مفتاح ألن,Muftah Allen, 
Socket set,شنطة حبات,Shintat habbat, 
Torque screwdriver,مفك عزم,Mifak azm, 
Micro-duct cutter,قاطع مواسير فايبر,Gati' mawaseer fiber, 
Mandrel,مندرال,Mandrel, 
Fiber blower,ماكينة نفخ ألياف,Makinat nafk alyaf, 
Lubricant,مزلق كابلات,Muzliq kabilat, 
Alcohol wipes,مناديل كحول,Manadeel alcohol, 
Dust cap,غطاء غبار,Ghata' ghobar, 
Patch cord,باتش كورد,Patch cord, 
Transceiver,ترانسيفير,Transceiver, 
Server lift,رافعة سيرفرات,Raf'at serverat, 
Anti-static mat,بساط ضد الكهرباء,Basat did al-kahraba, 
ESD strap,سوار تأريض,Suwar ta'reedh, 
Label printer,طابعة لواصق,Tabi'at lawasiq, 
Battery tester,فاحص بطاريات,Faas batariyat, 
Load bank,لود بانك,Load bank, 
Airflow hood,غطاء تدفق الهواء,Ghata' tadafuq al-hawa, 
Anemometer,مقياس سرعة هواء,Miqyas sora'at hawa, 
Hygrometer,مرطاب,Mirtab, 
Sound level meter,مقياس ضجيج,Miqyas dhajeej, 
Calibration kit,عدة معايرة,Iddat mu'ayara, 
Logbook,سجل العمليات,Sijill al-amaliyat, 
Work order,أمر عمل,Amr 'amal, 
Permit to work,تصريح عمل,Tasreeh 'amal, 
Site plan,مخطط موقع,Mukhattat mawqi', 
Checklist,قائمة فحص,Ga'imat fahs, 
Quality control,رقابة جودة,Ragabat jawda, 
Inspection,تفتيش,Tafteesh, 
Shipment,شحنة,Shuhna, 
Weight,وزن,Wazn, 
Dimension,أبعاد,Ab'ad, 
Fragile,قابل للكسر,Gabil lil-kasr, 
Stacking height,ارتفاع الرص,Irtifa' al-rass, 
Lead time,مدة التوريد,Muddat al-tawreed, 
Forklift driver,سواق فوركلفت,Suwaq forklift, 
Lift operator,مشغل رافعة,Mushaghil rafi'a, 
English,Arabic,Phonetic, 
Pull,اسحب,Is-hab, 
Stop,وقف,Waggif, 
Check,شيك,Shayyek, 
Clean,نظف,Nadhif, 
Terminate (cable),بروز,Barriz, 
Test,افحص,If-has, 
Verify,تأكد,Ta'akkad, 
Install,ركب,Rakkib, 
Remove,فك,Fikk, 
Fast,بسرعة,Bisir'a, 
Slow,شوي شوي,Shway shway, 
Wait,استنى,Istanna, 
Repeat,كرر,Karrir, 
Push,دف,Dif, 
Lift,ارفع,Irfa', 
Lower,نزل,Nazzil, 
Connect,شبك,Shabbik, 
Disconnect,افصل,Ifsil, 
Tighten,شد,Shidd, 
Loosen,رخي,Rakh-khi, 
Drill,اخرم,Ikh-rim, 
Cut,قص,Guss, 
Label,رقم,Raggim, 
Splice (fiber),لحم,Lahhim, 
Measure,قيس,Gis, 
Align,وزن,Wazzin, 
Mount,ثبت,Thabbit, 
Plug in,عشق,Ash-shik, 
Unplug,اسحب,Is-hab, 
Start,شغل,Shagh-ghil, 
Shut down,طفي,Taffi, 
Watch out,انتبه,Intibih, 
Move,حرك,Harrik, 
Stay,خليك,Khallik, 
Bring,جيب,Jib, 
Take,خذ,Khuth, 
Hold,امسك,Imsik, 
Release,فضي,Fad-dhi, 
Adjust,عدل,Ad-dil, 
Seal,سكر,Sakkir, 
Open,افتح,Iftah, 
Close,قفل,Gaffil, 
Blow (fiber),انفخ,Infakh, 
Strip (wire),قشر,Gash-shir, 
Crimp,اكبس,Ik-bis, 
Scan,اسحن,Is-han, 
Log/Record,سجل,Saj-jil, 
Update,حدث,Haddith, 
Report,بلغ,Balligh, 
Inspect,فتش,Fat-tish, 
Fix,صلح,Sallah, 
Replace,بدل,Baddil, 
Arrange,رتب,Rattib, 
Clear (area),فضي,Fad-dhi, 
Cover,غطي,Ghatti, 
Uncover,اكشف,Ikshef, 
Mark,علم,Allim, 
Hammer,دق,Digg, 
Screw,برغي,Borghi, 
Glue,غري,Gharri, 
Tape,لزق,Laz-zig, 
Level,وزن,Wazzin, 
Proceed,كمل,Kam-mil, 
Go back,ارجع,Irja', 
Test signal,شيك إشارة,Shayyek ishara, 
Calibrate,عاير,Ayir, 
Ground (earth),أرض,Ar-ridh, 
Isolate,اعزل,Azil, 
Route (cable),مسار,Massir, 
Bundle,اربط,Urbut, 
Untie,فك,Fikk, 
Tighten bolt,قر عليه,Gurr alaih, 
Position,حوط,Haw-wit, 
Center,وسط,Wassit, 
Rotate,لف,Liff, 
Flip,اقلب,Iglib, 
Slide,زلق,Zah-liq, 
Lock,قفل,Gaffil, 
Unlock,افتح,Iftah, 
Check pressure,شيك ضغط,Shayyek dhaght, 
Check flow,شيك تدفق,Shayyek tadafuq, 
Cool down,برد,Barrid, 
Power up,شغل كهرباء,Shagh-ghil kahraba, 
Load (rack),حمل,Ham-mil, 
Unload,فرغ,Far-righ, 
Organize,رتب,Rattib, 
Sequence,رصص,Ras-sis, 
Secure bracket,ثبت قاعدة,Thabbit ga'ida, 
Check alignment,شيك وزنية,Shayyek wazniya, 
Inspect fiber,افحص فايبر,If-has fiber, 
Clean connector,نظف الوصلة,Nadh-dhif al-wasla, 
Insert,دخل,Dakh-khil, 
Eject,طلع,Talli', 
Verify light,تأكد من النور,Ta'akkad minal noor, 
Check loss,شيك الفقد,Shayyek al-faqad, 
Monitor,راقب,Raqib, 
Signal (hand),أشر,Ash-shir, 
Listen,اسمع,Is-ma', 
Look,شوف,Shuf, 
Call,نادي,Nad-di, 
Finish,خلص,Khallis, 
Leave,اترك,Utruk, 
Stay away,ابعد,Ib-id, 
English,Arabic,Phonetic, 
One,واحد,Wahed, 
Two,إثنين,Ithnain, 
Three,ثلاثة,Thalatha, 
Four,أربعة,Arba'a, 
Five,خمسة,Khamsa, 
Six,ستة,Sitta, 
Seven,سبعة,Sab'a, 
Eight,ثمانية,Thamaniya, 
Nine,تسعة,Tis'a, 
Ten,عشرة,Ashara, 
Eleven,أحدعش,Ahda-ash, 
Twelve,إثنى عشر,Ithna-ash, 
Thirteen,ثلاثة عشر,Thalath-tash, 
Fourteen,أربعة عشر,Arba-tash, 
Fifteen,خمسة عشر,Khamas-tash, 
Sixteen,ستة عشر,Sitt-tash, 
Seventeen,سبعة عشر,Saba-tash, 
Eighteen,ثمانية عشر,Thamantash, 
Nineteen,تسعة عشر,Tisa-tash, 
Twenty,عشرين,Ishreen, 
Thirty,ثلاثين,Thalatheen, 
Forty,أربعين,Arba'een, 
Fifty,خمسين,Khamseen, 
Sixty,ستين,Sitteen, 
Seventy,سبعين,Sab'een, 
Eighty,ثمانين,Thamaneen, 
Ninety,تسعين,Tis'een, 
One Hundred,مية,Miya, 
Meter,متر,Metar, 
Centimeter,سانتي,Santi, 
Millimeter,ملي,Milli, 
Inch,بوصة,Boosa, 
Foot,قدم,Gadam, 
Micron,ميكرون,Micron, 
Fiber Core,لب ألياف,Core alyaf, 
Core count,عدد القلوب,Adad al-quloob, 
Rack Unit (U),وحدة كبينة,Wahdat kabina, 
Kilowatt (kW),كيلو واط,Kilo-wat, 
Megawatt (MW),ميجا واط,Mega-wat, 
Ampere,أمبير,Ambiar, 
Voltage,فولت,Volt, 
BTU,وحدة حرارية,B-T-U, 
Decibel (dB),ديسيبل,Disibel, 
Kilogram,كيلو,Kilo, 
Ton,طن,Ton, 
Second,ثانية,Thaniya, 
Minute,دقيقة,Dagiqa, 
Hour,ساعة,Sa'a, 
Day,يوم,Yom, 
Week,أسبوع,Isboo', 
Month,شهر,Shahar, 
Year,سنة,Sana, 
Shift,شفت / دوام,Shift / Dawam, 
Night shift,دوام ليلي,Dawam laili, 
Day shift,دوام نهاري,Dawam nahari, 
Deadline,موعد نهائي,Maw'id niha'i, 
Schedule,جدول,Jadwal, 
Delay,تأخير,Ta'kheer, 
Early,بدري,Badri, 
Late,متأخر,Muta'akhir, 
Now,الحين,Al-heen, 
Later,بعدين,Ba'dain, 
Duration,مدة,Mudda, 
Tomorrow,بكرة,Bukra, 
Yesterday,أمس,Ams, 
Half,نص,Nus, 
Quarter,ربع,Rubu', 
Double,دبل,Double, 
Pair,زوج,Zowj, 
Bundle,ربطة,Rabta, 
Percentage,نسبة,Nisba, 
Total,مجموع,Majmoo', 
Average,متوسط,Mutawasit, 
Maximum,أقصى,Aksa, 
Minimum,أدنى,Adna, 
Capacity,سعة,Si'a, 
Density,كثافة,Kathafeh, 
Load,حمل,Hamal, 
Flow rate,معدل التدفق,Mu'addal al-tadafuq, 
PUE,معدل كفاءة الطاقة,P-U-E, 
