Order,ALA-LC,English,Español
81,صباح,ṣabāḥ,morning
82,جديد,jadīd,new
83,ألم,alam,Pain
84,لحظة,laḥẓah,Moment
85,رقم,raqam,number
86,طريق,ṭarīq,Road
87,فوق,fawq,above
88,دون,dūn,Without
89,ساعة,sā‘ah,hour
90,غرفة,ghurfah,Room
91,عام,‘ām,Public
92,سيارة,sayyārah,Car
93,سبب,sabbab,reason
94,سنة,sanah,Year
95,بينما,baynamā,While
96,أول,awwal,first
97,لطيف,liṭayyaf,Nice
98,نفسي,nafsuy,Myself
99,غريب,gharīb,a stranger
100,حالة,ḥālah,status
101,فرصة,furṣah,Chance
102,صغير,ṣaghīr,Small
103,طريقة,ṭarīqah,method
104,نهاية,nihāyah,End
105,حياة,ḥayāh,Life
106,نفسه,nafsuh,Himself
107,أصبح,aṣbaḥ,had become
108,خطأ,khaṭṭa’,Error
109,نصف,naṣuff,Half
110,صديق,ṣadīq,Friend
111,فريق,farayyaq,Team
112,ممكن,mumkin,Maybe
113,حق,ḥaqq,right
114,طويل,ṭawīl,Long
115,ذهب,dhahab,Go
116,أقل,aqall,Less
117,حصل,ḥaṣal,happened
118,داخل,dākhal,inside
119,كلمة,kalimah,a word
120,عبر,‘abir,Across
121,بيت,bayyat,a house
122,علاقة,‘alāāaqah,Relationship
123,أخذ,akhadh,Taking
124,مباشرة,mubāsharah,directly
125,حاول,ḥāwal,try to
126,ميت,mīt,dead
127,رئيس,ra’īs,President
128,أحضر,aḥḍar,Bring
129,جزء,juz’,bit
130,حقيقي,ḥaqīqī,real
131,ضد,ḍadd,against
132,تذكر,tadhkur,remember
133,وضع,waḍu‘,Put
134,منزل,munzal,Home
135,ولد,wallad,Boy
136,جاهز,jāhiz,Ready
137,رسالة,risālah,Message
138,ابن,āibn,Son
139,حقيقة,ḥaqīqah,Fact
140,عائلة,‘ā’ilah,a family
141,تحرك,taḥarruk,Move
142,اسم,āism,Noun
143,فترة,ftrh,interval
144,لعبة,l‘bh,Game
145,مدينة,madīnah,City
146,أمام,amām,Before
147,عدد,‘addad,Number
148,تحدث,taḥduth,Talk
149,وجود,wajawwad,Existence
150,بدأ,bada’,seem
151,جاء,jā’,came
152,معرفة,ma‘rifah,knowledge
153,صورة,ṣūrah,picture
154,طلب,ṭalib,Order
155,آنسة,ānisah,miss
156,حفلة,ḥflh,party
157,مجموعة,majmū‘ah,Collection
158,حسن,ḥasun,Hassan
159,مهم,muhimm,Important
160,اتصل,āittaṣal,call
161,أمس,ams,yesterday
162,مكتب,maktab,Desk
163,كرة,kurah,a ball
164,سوى,siwá,but
165,صعب,ṣa‘ub,Difficult
166,عرض,‘araḍ,Show
167,كثير,kathīr,a lot
168,خلف,khalf,behind
169,شركة,shrkh,a company
170,قطعة,qṭ‘h,Piece
171,علم,‘alim,Science
172,امرأة,āimra’ah,a woman
173,سؤال,su’’āl,A question
174,صوت,ṣawwat,Voice
175,خطر,khaṭar,Danger
176,عملية,‘amalīyah,Operation
177,مختلف,mukhtalif,Different
178,تحمل,taḥmil,Bearing
179,مساعدة,musā‘adah,Help
180,بضعة,biḍ‘ah,a few
181,لأجل,li’ajill,For
182,أسفل,asful,Down
183,شرطة,sharṭah,police
184,عدة,‘uddah,several
185,موعد,maw‘id,an appointment
186,بني,bunī,Build
187,ميل,mayil,Mile
188,شهر,shahar,Month
189,بعيد,ba‘īd,far away
190,ترك,tarukk,leave
191,قليل,qalīl,Few
192,مركز,murakkaz,center
193,قوة,qūwah,Energy
194,رحلة,rḥlh,Journey
195,كامل,kāmil,Full
196,طبيب,ṭabīb,A doctor
197,سيئ,sayyi’,Bad
198,كلب,kalib,dog
199,قدم,qadam,Foot
200,وجه,wajuh,Face
201,فيلم,fayalumm,Movie
202,حاجة,ḥājah,need
203,بجانب,bijānib,Next to
204,قاتل,qātal,killer
205,جهاز,jhāz,Device
206,خاص,khāṣṣ,Special
207,ملك,malak,king
208,قسم,qasam,Department
209,نفسها,nafsuhā,itself
210,منطقة,minṭaqah,Area
211,قط,qaṭṭ,Cat
212,فكر,fakar,thought
213,مهمة,muhimmah,Mission
214,درجة,drjh,Degree
215,ظهر,ẓahir,Back
216,مريض,marīḍ,Patient
217,قريب,qarīb,Close
218,نقطة,nuqṭah,Point
219,كلما,kullamā,whenever
220,نظام,nẓām,System
221,مال,māl,Capital
222,هدية,hadīyah,Gift
223,حد,ḥadd,end
224,معنى,mu‘anná,meaning of
225,مدرسة,madrasah,School
226,لمن,liman,Whose
227,احتاج,āiḥtāj,I need
228,زوجة,zawjah,wife
229,موقع,muwaqqi‘,Location
230,كتاب,kuttāb,Book
231,ملابس,malābis,Clothes
232,صندوق,ṣundūq,Box
233,دليل,dalīl,Evidence
234,شرطي,sharṭuy,Policeman
235,فهم,fahum,Understanding
236,حب,ḥabb,Love
237,رائحة,rā’iḥah,Smell
238,طعام,ṭ‘ām,food
239,نصل,naṣull,blade
240,جريمة,jarīmah,a crime
241,معلومات,ma‘lūmāt,informations
242,متأخر,muta’akhkhir,Late
243,قلب,qalib,heart
244,لحم,laḥim,meat
245,قطع,qaṭa‘,cut
246,دور,dawwar,Role
247,طائرة,ṭā’irah,Plane
248,بسيط,basīṭ,simple
249,وسط,wasuṭ,Center
250,حرب,ḥarib,war
251,زوجي,zawjuy,my husband
252,عنى,‘anná,about me
253,سهل,sahul,Easy
254,سلاح,silāḥ,a weapon
255,رأس,ra’as,head
256,وصل,waṣṣal,Arrive
257,قائد,qā’id,Leader
258,وظيفة,waẓīfah,Function
259,شعور,shu‘ūr,Feeling
260,عادة,‘ādah,Habit
261,شراب,shurrāb,drink
262,ثمن,thaman,price
263,بداية,bidāyah,Beginning
264,فجأة,faj’ah,Suddenly
265,جاد,jād,Earnest
266,شعر,sha‘ar,Poetry
267,شارع,shāri‘,St
268,أرسل,arsal,Send
269,قوي,qawī,strong
270,زوج,zawwaj,Husband
271,خط,khaṭṭ,Line
272,برنامج,barnāmaj,a program
273,جانب,jānab,side
274,خيار,khiyār,Cucumber
275,حاضر,ḥāḍar,Present
276,أغلق,aghliq,close
277,ماء,mā’,Water
278,تقدم,taqdum,Progress
279,محاولة,muḥāwalah,Attempt
280,أسبوع,asubū‘,a week
281,آمن,āman,security
282,دفع,dafa‘,Pay
283,فندق,fanaduqq,Hotel
284,أراد,urādd,want
285,قادر,qādar,able
286,موت,mawwat,death
287,رغم,ragham,despite
288,قديم,qadīm,Old
289,موافق,muwāfiq,OK
290,شك,shakk,Doubt
291,شاب,shāb,young man
292,أعمال,a‘ummāl,Business
293,مفاجأة,mufāja’ah,Surprise
294,مدير,mudīr,Director
295,ضربة,ḍaribah,a hit
296,محطة,maḥaṭṭah,Station
297,تاريخ,tārīkh,Date
298,فرقة,fariqqah,band
299,صفقة,ṣafqah,Deal
300,صنع,ṣana‘,Made
301,بارد,bārid,Cool
302,مجال,majāl,field
303,أمل,amull,Amal
304,كتب,katab,Wrote
305,بطاقة,biṭāqah,Card
306,باب,bāb,Door
307,مر,marr,He passed
308,شكل,shakil,Form
309,يد,yad,hand
310,لعب,la‘ib,play
311,موضوع,mawḍū‘,Theme
312,أبعد,ab‘ud,far
313,طبيعي,ṭabī‘ī,natural
314,سقط,saqiṭ,He fell
315,حي,ḥay,Neighborhood
316,انتبه,āintabah,Whatch out
317,حقيبة,ḥaqībah,a bag
318,دخل,dakhil,Enter
319,أسود,aswad,black
320,ضوء,ḍaw’,Light
321,شاهد,shāhad,See
322,تقرير,taqrīr,report
323,بناء,binā’,Building
324,حركة,ḥarakah,movement
325,وجد,wajad,is found
326,أغنية,aghanīyah,Song
327,جعل,ja‘al,make
328,أمسك,amassuk,catch up
329,غاية,ghāyah,destination
330,خطوة,khuṭwah,a step
331,أرض,aruḍḍ,Land
332,سفينة,safīnah,Ship
333,آلة,ālh,Machine
334,فائدة,fā’idah,benefit
335,عضو,‘uḍw,member
336,موسيقى,mūsīqá,Music
337,أصل,aṣull,Origin
338,مستوى,mustawá,level
339,فتح,fataḥ,open
340,قيمة,qayyimah,Values
341,إشارة,shārah,Signal
342,استخدام,āistikhdām,Use
343,عمر,‘amar,Omar
344,رأى,ra’á,Opinion
345,مفتاح,miftāḥ,key
346,عرف,‘araf,He knew
347,وحدة,waḥiddah,unit
348,مجلس,majlis,board
349,مباراة,mubārāh,match
350,بدا,badā,seem
351,بنى,baná,Build
352,اهتم,āihtamm,Care
353,غاضب,ghāḍab,Angry
354,هدف,hadaf,Goal
355,سجن,sajan,prison
356,ذكر,dhakar,Male
357,دم,damm,blood
358,علامة,‘alāmah,sign
359,سلام,slām,Peace
360,أبيض,ubayyiḍ,white
361,جامعة,jāmi‘ah,University
362,أكل,akull,ate
363,جزيرة,jazīrah,Island
364,أحمر,aḥmar,red
365,أهم,ahum,Most important
366,دين,dayyan,debt
367,حيوان,ḥayawān,animal
368,تأكد,ta’akkud,Make sure
369,مرض,mariḍ,Illness
370,قاعدة,qā‘idah,Base
371,نار,nār,Fire
372,شجرة,shajirah,Tree
373,قانون,qānūn,Law
374,اتصال,āittiṣāl,Contact
375,إما,immā,As for
376,وجبة,wajubbh,a meal
377,جنوب,janūb,South
378,حمام,ḥammām,bathroom
379,قرار,qrār,resolution
380,نسخة,nskhh,Copy
381,تجربة,tajribah,Experiment
382,مهتم,mihtum,interested
383,مالك,mālak,Owner
384,طرق,ṭaraq,ways
385,هجوم,hujūm,attack
386,أثر,athir,Effect
387,جيش,jayyash,army
388,بقي,baqī,stayed
389,عقد,‘aqad,a necklace
390,مغلق,mughlaq,Closed
391,سر,sarr,Secret
392,مستشفى,mustashfá,hospital
393,قابل,qābal,Met
394,ببطء,bibuṭ’,slowly
395,كأس,ka’s,cup
396,عادي,‘āduy,Normal
397,قراءة,qirā’h,reading
398,أمن,aman,security
399,مفتوح,maftūḥ,Open
400,ضغط,ḍaghaṭ,pressure
401,خدعة,khd‘h,Trick
402,أنفسهم,anafsihim,themselves
403,مشروع,mashrū‘,Project
404,سن,sann,age
405,قطار,quṭṭār,Train
406,تأثير,ta’thīr,Effect
407,بيع,bī‘,Sale
408,سابق,sābaq,former
409,سمك,samuk,fish
410,أخ,akh,Brother
411,استخدم,āistakhdam,use
412,نقل,naqill,Transfer
413,وحده,waḥḥadah,unit
414,لون,lawwan,color
415,حساب,ḥsāb,an account
416,ابنة,āibnah,daughter
417,ضعيف,ḍa‘īf,Weak
418,متعب,mut‘ib,Tired
419,أب,ab,August
420,قصير,qaṣīr,Short
421,عربة,‘arabah,trolley
422,وسيلة,wasīlah,Means
423,حجم,ḥajam,size
424,سجل,sajal,Record
425,تصرف,taṣrif,behavior
426,حصان,ḥiṣān,a horse
427,عامل,‘āmal,Factor
428,متزوج,mutazawwij,Married
429,أمامي,amāmay,front
430,مقدار,miqdār,amount
431,تقديم,taqdīm,Submit
432,باقي,bāqī,Remainder
433,خنزير,khinzīr,Pig
434,كسر,kasar,broke down
435,حارس,ḥāris,guard
436,لذيذ,ladhīdh,Delicious
437,قتال,qtāl,Fight
438,مميز,mumayyiz,Special
439,قمة,qimmah,summit
440,كتابة,kitābah,Writing
441,قارب,qārab,Boat
442,تابع,tāba‘,Follow
443,خطط,khaṭṭaṭ,Plans
444,بوضوح,biwuḍūḥ,clearly
445,عالي,‘āluy,high
446,عين,‘ayn,Eye
447,دائرة,dā’irah,Circle
448,راحة,rāḥah,Comfort
449,شبكة,shbkh,Network
450,حكم,ḥakum,Rule
451,شخصي,shakhṣuy,Personal
452,إدارة,idārah,Administration
453,أنقذ,anaqudhdh,save
454,جرب,jarib,try
455,عنوان,‘unwān,Title
456,مسافة,masāfah,distance
457,شمال,shamāl,north
458,رأي,ra’ī,Opinion
459,زواج,zawāj,marriage
460,زيادة,zīādah,a plus
461,تدمير,tadmīr,destruction
462,نهر,nahurr,River
463,فصل,faṣal,Season
464,جرى,jarrá,he ran
465,صعوبة,ṣu‘ūbah,difficulty
466,منظمة,munaẓẓamah,organization
467,تسبب,tusabbib,it causes
468,تذكرة,tadhkirah,a ticket
469,مالي,māluy,Financial
470,مستقبل,mustaqbil,future
471,كذب,kadhab,lie
472,بلدة,baladah,town
473,اختيار,āikhtiyār,Selection
474,رفع,rafa‘,upload
475,نظيف,naẓīf,Clean
476,خاتم,khātim,Ring
477,ملكي,mullakuy,Royal
478,شقة,shuqqah,Flat
479,مزرعة,mazra‘ah,Farm
480,دورة,dawrah,Course
481,عودة,‘awdah,back
482,تدريب,tadrīb,Training
483,إجازة,jāzah,A vacation
484,اجتماع,āijtimā‘,Meeting
485,درس,daras,Lesson
486,عجلة,‘ijlah,wheel
487,جمع,jama‘,plural
488,سلسلة,silslah,Series
489,سطح,saṭaḥ,Surface
490,طائر,ṭā’ir,a bird
491,حر,ḥarr,free
492,أرجع,arji‘,come back
493,حذاء,ḥidhā’,Shoe
494,مرحلة,marḥalah,Stage
495,أذن,adhin,Ear
496,رمز,ramaz,Code
497,طاقة,ṭāqah,energy
498,نوم,nawwam,sleep
499,أكمل,akmul,Complete
500,استمتع,āistamta‘,Enjoy
501,نسبة,nisbah,Rate
502,رفض,rafaḍ,Refusal
503,حزين,ḥazīn,sad
504,قرر,qarrar,he decided
505,قاسي,qāsī,Rough
506,انتباه,āintibāh,Attention
507,سمع,sami‘,he heard
508,جدول,jadwal,Schedule
509,بحث,baḥath,Search
510,مسؤول,mas’ūl,Administrator
511,سري,sarī,Secret
512,سلطة,sulṭah,Power
513,سحب,saḥab,Withdrawal
514,عقل,‘aqal,mind
515,ليل,liyall,night
516,أخت,ukht,sister
517,حديث,ḥadīth,Modern
518,تصريح,taṣrīḥ,Declaration
519,سليم,salīm,sound
520,رئيسي,ra’iyisī,Main
521,مفيد,mufīd,useful
522,قرية,qarīyah,village
523,معلم,mu‘allim,Teacher
524,مادة,māddah,Matter
525,فقدان,fuqdān,Loss
526,إضافة,ḍāfah,addition
527,أحس,aḥuss,feel
528,زيارة,zīārah,Visit
529,حرارة,ḥarārah,heat
530,ضبط,ḍabiṭ,Adjust
531,تأمين,ta’mīn,insurance
532,ضروري,ḍarūrī,Necessary
533,جبل,jabal,Mount
534,مقاطعة,muqāṭa‘ah,boycott
535,شكر,shakir,thanks
536,جسم,jasum,Body
537,مؤسسة,mu’assasah,Corporation
538,ممثل,mumaththil,actor
539,أثبت,uthabbit,Proved
540,إجراء,ijrā’,Procedure
541,دراجة,darrājah,Bicycle
542,فشل,fashil,Fail
543,رضيع,raḍī‘,infant
544,خبر,khabir,news
545,عاش,‘āsh,Live
546,خبير,khabīr,expert
547,ملاحظة,mulāḥaẓah,Note
548,جرح,jaraḥ,Wound
549,تحكم,taḥkum,Control
550,آلي,ālī,to me
551,شرب,sharib,drink
552,سكر,sakir,sugar
553,نظرية,naẓarīyah,theory
554,نصيحة,naṣīḥah,Advice
555,طبيعة,ṭabī‘ah,nature
556,ورق,warraq,paper
557,قضيب,qaḍīb,rod
558,نجمة,najmah,star
559,يمين,yamīn,right
560,لغة,lughah,language
561,حريق,ḥarīq,fire
562,تاجر,tājar,dealer
563,أسلوب,uslūb,style
564,غطاء,ghiṭā’,cover
565,يسار,yusārr,left
566,مصنع,muṣanni‘,Factory
567,سرير,sarīr,Bed
568,تلقى,talqá,Receive
569,توقع,tuwaqqi‘,Expect
570,جنس,janas,sex
571,ذكرى,dhikrá,memory
572,سوق,sawiq,Market
573,شأن,sha’n,Like
574,مقعد,muq‘ad,seat
575,طاولة,ṭāwilah,Table
576,جرس,jaras,Bell
577,خبرة,khabirah,Experience
578,معقد,mu‘aqqad,Complex
579,صدمة,ṣadmah,shock
580,كذبة,kadhabah,a lie
581,اتفاق,āittifāq,an agreement
582,مشترك,mushtarik,Mutual
583,قبعة,qb‘h,Cap
584,ثقيل,thaqīl,heavy
585,أزرق,azraq,blue
586,كنيسة,kanīsah,a church
587,إعلان,‘lān,Advertising
588,ساعد,sā‘ad,Assist
589,طرد,ṭarid,package
590,محكمة,maḥkamah,Court
591,حرف,ḥaraf,Letter
592,خريطة,kharīṭah,a map
593,وقف,waqqaf,stood up
594,اكتشف,āiktashaf,Discover
595,شرق,shariq,east
596,كشف,kashaf,reveal
597,نبيذ,nabīdh,wine
598,جسر,jasar,bridge
599,معين,mu‘īn,a certain
600,اعترف,āi‘taraf,I acknowledge
601,زهرة,zahrah,a flower
602,صفحة,ṣafḥah,page
603,أعطى,a‘aṭṭá,gave
604,رغبة,raghbah,desire
605,منظر,manẓar,Scenery
606,مناقشة,munāqashah,Debate
607,جسدي,jasaduy,physical
608,استراحة,āistirāḥah,Break
609,خوف,khawwaf,fear
610,وصول,waṣawwal,Access
611,تعليق,ta‘līq,Suspension
612,أهل,uhill,People
613,ملائم,mulā’im,appropriate
614,صدر,ṣadar,Released
615,غرب,gharib,West
616,عزيز,‘azīz,Aziz
617,جناح,jnāḥ,suite
618,دعم,da‘am,Support
619,خمن,khaman,Guess
620,طيران,ṭayarān,Flight
621,خبز,khabaz,bread
622,قلم,qalam,pencil
623,مبكر,mubakkir,early
624,ثابت,thābat,Fixed
625,ثلج,thalij,snow
626,وزير,wazayyar,minister
627,عالمي,‘ālamī,my world
628,رسم,rasam,draw
629,حجر,ḥajar,Stone
630,قميص,qamīṣ,Shirt
631,زاوية,zāwiyah,angle
632,سلم,salim,Ladder
633,ربح,rabiḥ,he won
634,قرد,qarid,Monkey
635,حافة,ḥāffah,edge
636,ضحك,ḍaḥik,Laughter
637,حقل,ḥaqil,field
638,أعلن,a‘ullann,Advertise
639,عصر,‘aṣar,era
640,ثاني,thānī,second
641,أداة,dāh,a tool
642,اتجاه,āittijāh,direction
643,صحيفة,ṣaḥīfah,newspaper
644,دولة,dawlah,Country
645,نافذة,nāfidhah,Window
646,سمح,samaḥ,allowed
647,واجب,wājab,duty
648,ضيق,ḍayyaq,tight
649,جهز,jahaz,prepare
650,شعب,sha‘ab,People
651,أخضر,akhḍar,green
652,نجاح,njāḥ,Success
653,هواء,hawā’,air
654,سكين,sikkīn,a knife
655,مصرف,muṣarrif,bank
656,نموذج,namūdhaj,Form
657,فن,fann,art
658,اكتشاف,āiktishāf,Discovery
659,سياسة,sīāsah,Policy
660,نشر,nashurr,Spread
661,صدق,ṣadaq,Truth
662,حليب,ḥalīb,milk
663,فك,fakk,Unscrew
664,حاد,ḥād,Sharp
665,سرور,surūr,pleasure
666,بيانات,bayānāt,Data
667,خيال,khayāl,Fiction
668,صحة,ṣiḥḥah,Health
669,سمين,samīn,Fat
670,حافظ,ḥāfaẓ,Keep
671,مستقيم,mustaqīm,straight
672,دفاع,dfā‘,defense
673,فستان,fustān,dress
674,وافق,wāfaq,Approved
675,مؤتمر,mu’tamir,conference
676,بحر,baḥr,Sea
677,قفز,qafaz,jump
678,صلب,ṣalab,Solid
679,كعك,ka‘k,Cakes
680,حرك,ḥaruk,Move
681,أبلغ,ablugh,Informed
682,تعليم,ta‘līm,education
683,تصميم,taṣmīm,Design
684,تجارة,tijārah,trade
685,مساحة,misāḥah,space
686,موجة,mawjah,Wave
687,مجتمع,mujtama‘,Community
688,ذاكرة,dhākirah,memory
689,مظلم,muẓlim,dark
690,عقاب,‘qāb,punishment
691,مخطط,mukhaṭṭiṭ,Planned
692,أخير,ukhayyir,last
693,ارتفاع,āirtifā‘,Height
694,زر,zarr,button
695,جواب,jawāb,Answer
696,مكسور,maksūr,broken
697,دقيق,daqīq,Flour
698,منخفض,munkhafiḍ,Low
699,تقنية,tiqnīyah,Technique
700,متوسط,mutawassiṭ,Average
701,ملكية,malikīyah,ownership
702,مستيقظ,mustayqiẓ,Awake
703,سيطرة,sayṭarah,control
704,سلة,sallah,Basket
705,جلد,jalad,leather
706,مكتبة,maktabah,Library
707,فقير,faqīr,poor
708,رخيص,rakhīṣ,Inexpensive
709,موضع,mawḍa‘,position
710,أزال,azāl,Remove
711,بكى,baká,Fret
712,حكومة,ḥukūmah,Government
713,سقوط,suqūṭ,Dropp off
714,جنوني,jannūnī,insane
715,زبون,zabūn,Customer
716,اشترى,āishtará,Buy
717,ثقب,thaqab,hole
718,قدرة,qdrh,capacity
719,حملة,ḥamalah,campaign
720,فضاء,faḍā’,Space
721,حصة,ḥiṣṣah,Period
722,أساس,asās,Basis
723,خسر,khasir,Lost
724,محرك,muḥarrik,engine
725,تحليل,taḥlīl,analysis
726,طابق,ṭābaq,Storey
727,لمس,lamas,touch
728,حدد,ḥaddad,Locate
729,حكيم,ḥakīm,Sage
730,عنق,‘aniq,neck
731,لوح,lawwaḥ,Table
732,اهتمام,āihtimām,Interest
733,منافسة,munāfasah,Competition
734,مرتفع,murtafi‘,high
735,مسؤولية,mas’ūlīyah,liability
736,حبل,ḥabil,Rope
737,اقترح,āiqtaraḥ,suggest
738,عنيف,‘anīf,violent
739,أجرى,ajarrá,go run
740,دب,dabb,Bear
741,شمس,shamis,Sun
742,زجاج,zijāj,glass
743,حساء,ḥasā’,soup
744,نشاط,nshāṭ,Activity
745,كره,karih,a ball
746,شرعي,shurra‘uy,Lawful
747,لقب,laqqab,title
748,أنهى,anhá,finish
749,قوس,qawis,Arc
750,افترض,āiftaraḍ,I assume
751,خفيف,khufayf,light
752,فم,fam,Mouth
753,مسلسل,musalsal,a series
754,منجم,munajjim,Astrologer
755,رمي,rumī,Throw
756,قمر,qamar,Moon
757,محلي,maḥalluy,local
758,ربط,rabaṭ,Link
759,حشرة,ḥshrh,Insect
760,مضاد,muḍādd,opposite
761,حلو,ḥaluw,Sweet
762,دخان,dukhkhān,smoke
763,أرضية,araḍīyah,floor
764,جنيه,janiyah,fairy
765,ثوب,thawwab,dress
766,عقدة,‘qdh,Knot
767,سلوك,sallūk,Behavior
768,رصاص,raṣāṣ,lead
769,إنتاج,intāj,Produce
770,حطم,ḥaṭam,Smashed
771,نسخ,nasakh,copies
772,زيت,zayyat,oil
773,مقارنة,muqāranah,Comparison
774,تطور,tuṭawwir,has evolved
775,معاملة,mu‘āmalah,treatment
776,قبض,qabaḍ,catch
777,قطاع,qṭā‘,sector
778,أنثى,unthá,female
779,سقف,saqif,roof
780,زاد,zād,Increased
781,وزن,wazun,Weight
782,خادم,khādim,Servant
783,ناجح,nājiḥ,successful
784,معطف,ma‘ṭaf,Coat
785,بقرة,baqarah,a cow
786,سم,samm,cm
787,مراقب,murāqib,Foreman
788,ناعم,nā‘am,Soft
789,سلك,salak,Wire
790,لامع,lāmi‘,Bright
791,طراز,ṭirāz,style
792,غرامة,gharāmah,Fine
793,تهمة,tuhmah,charge
794,أصلي,uṣallī,A native
795,حاسوب,ḥāsūb,Computer
796,جبن,jabun,cheese
797,دافئ,dāf’,warm
798,ذراع,dhirā‘,an arm
799,شعبي,shu‘abuy,popular
800,دجاجة,dajājah,Hen
801,وسام,wasām,Wissam
802,مصباح,miṣbāḥ,a lamp
803,قفزة,qafzah,Jump
804,طلاء,ṭilā’,paint
805,كائن,kā’in,Object
806,سأل,sa’al,Ask
807,عارف,‘ārif,Arif
808,نبات,nbāt,Plant
809,حفظ,ḥafiẓ,save
810,سياسي,sīāsī,Politician
811,إطار,iṭār,Framework
812,قمامة,qumāmah,rubbish
813,قطرة,qaṭarah,Drop
814,ولادة,wilādah,Birth
815,ميناء,mīnā’,port
816,مصلحة,maṣlaḥah,interest
817,إرادة,irādah,will
818,برد,barud,Cold
819,عود,‘awwad,Oud
820,وعاء,wi‘ā’,Container
821,معلومة,ma‘lūmah,Information
822,أشعل,ash‘al,lit
823,تجنب,tajnib,Avoid
824,صحي,ṣiḥḥī,healthy
825,ابتسم,āibtasam,Smile
826,جرذ,jaridh,rat
827,فوز,fawwaz,win over
828,جل,jall,Gel
829,مكافأة,mukāfa’ah,Reward
830,زبدة,zubdah,butter
831,شرط,shariṭ,condition
832,نمط,namuṭṭ,style
833,ذيل,dhayyal,Tail
834,خلية,khalīyah,cell
835,بيضة,bayḍah,an egg
836,هاجم,hājam,He attacked
837,غسل,ghasal,wash
838,واجه,wājah,Face
839,جوز,jawwaz,nut
840,فصيلة,faṣīlah,Platoon
841,صيف,ṣayyaf,summer
842,قفل,qafal,a lock
843,أصفر,aṣfar,yellow
844,زنزانة,zinzānah,prison cell
845,جاف,jāff,dry
846,لسان,lisān,Tongue
847,ابتسامة,āibtisāmah,a smile
848,تكلفة,taklifah,Cost
849,غالي,ghālī,Expensive
850,خيط,khayyaṭ,thread
851,كبر,kabir,Enlargement
852,ركلة,raklah,kick
853,أنف,anuff,nose
854,مقياس,miqyās,Scale
855,باقة,bāqah,Package
856,عسكري,‘askaruy,Soldier
857,نظف,naẓif,sweep up
858,رمى,ramá,Throw
859,حبيبة,ḥabībah,a girlfriend
860,توزيع,tawzī‘,distribution
861,خشب,khashib,Wood
862,إيمان,īmān,Faith
863,فرشاة,farshāh,a brush
864,رفقة,rfqh,Companion
865,مجاني,majjānī,Complimentary
866,مسكن,massakunn,residence
867,بائس,bā’is,miserable
868,غبار,ghbār,dust
869,حديد,ḥadīd,iron
870,ظرف,ẓaraf,Circumstance
871,عنصر,‘unṣur,an item
872,مستقبلي,mustaqbiluy,My future
873,دماغ,dimāgh,brain
874,خدع,khada‘,Trick
875,ساق,sāq,leg
876,صحن,ṣaḥan,Dish
877,إصبع,iṣba‘,finger
878,فلين,falayyan,cork
879,تطبيق,taṭbīq,Application
880,قاد,qād,Drove
881,سائل,sā’il,Liquid
882,ماضي,māḍī,past
883,مربع,murabba‘,Square
884,لبس,labas,wear
885,تذوق,tadhūq,tasting
886,دعابة,du‘ābah,humor
887,تقبيل,tqbīl,Kissing
888,باع,bā‘,sold
889,بطاطس,baṭāṭis,Potatos
890,مهارة,mahārah,Skill
891,جذب,jadhab,Attract
